title,species
389 12,Lime
389 12,Sycamore
389 12,Brambles
389 12,Bracken
389 12,Cocks_foot
389 12,Herb_Robert
389 12,Buttercup_creeping
389 12,Wood_avens
389 12,Broad-leaved_Dock
389 12,Willowherb
389 10,Ash
389 10,Beech
389 10,Holly
389 10,Sycamore
389 10,Ivy
389 10,Brambles
389 10,Cocks_foot
389 10,Buttercup_meadow
389 10,Wood_avens
389 10,Willowherb
389 10,Dandelion
389 10,Broad-leaved_Dock
389 10,Red_Campion
389 10,Ragworts
389 9,Sycamore
389 9,Oak
389 9,Hawthorn
389 9,Ash
389 9,Brambles
389 9,Bracken
389 9,Wood_avens
389 5,Oak
389 5,Cherry
389 5,Maple
389 5,Birch
389 5,Holly
389 5,Ivy
389 5,Wood_avens
389 2,Birch
389 2,Ash
389 2,Oak
389 2,Blackthorn
389 2,Maple
389 2,Brambles
389 2,Cocks_foot
389 2,Buttercup_creeping
389 2,Nettles
389 2,Willowherb
389 2,Clover_white
485 12,Sycamore
485 12,Buddleja
485 12,Nettles
485 12,Buttercup_creeping
485 12,Dandelion
485 12,Daisy
485 12,Herb_Robert
485 12,Red_Campion
485 4,Sycamore
485 4,Birch
485 4,Holly
485 4,Hawthorn
485 4,Horse-chestnut
485 4,Wood_avens
485 4,Broad-leaved_Dock
485 4,Ragworts
485 4,Nettles
485 4,Hogweed
485 3,Birch
485 3,Oak
485 3,Lime
485 3,Cherry
485 3,Blackthorn
485 3,Brambles
485 3,Common_reed
485 3,Cocks_foot
485 3,Ragworts
485 3,Hogweed
485 3,Thistles
485 3,Clover_red
485 3,Buttercup_creeping
485 3,Nettles
485 3,Vetch
485 3,Wood_avens
485 3,Dandelion
485 9,Birch
485 9,Poplar
485 9,Elder
485 9,Buttercup_creeping
485 9,Nettles
485 9,Dandelion
485 9,Herb_Robert
485 9,Wood_avens
485 5,Birch
485 5,Ground_based_fungi
485 5,Clover_white
485 5,Dandelion
485 1,Poplar
485 1,Buttercup_creeping
485 1,Clover_white
618 7,Cherry
618 7,Broad-leaved_Dock
618 7,Buttercup_creeping
618 7,Dandelion
618 7,Clover_red
618 10,Horsetail
618 10,Ground_based_fungi
618 10,Dandelion
618 10,Ragworts
619 5,Crab_Apple
619 5,Ragworts
619 5,Dandelion
619 3,Sycamore
619 3,Alder
619 3,Lime
619 3,Ash
619 3,Ivy
619 3,Nettles
619 3,Dandelion
619 3,Wood_avens
619 7,Sycamore
619 7,Bindweed
619 7,Dandelion
619 7,Ragworts
619 7,Buttercup_creeping
619 7,Willowherb
619 10,Birch
619 10,Dandelion
619 10,Clover_white
619 10,Broad-leaved_Dock
619 4,Elder
619 4,Beech
619 4,Rowan
619 4,Brambles
619 4,Dandelion
619 4,Nettles
619 4,Clover_white
619 4,Buttercup_creeping
619 4,Willowherb
619 4,Wood_avens
619 1,Ash
619 1,Birch
619 1,Willowherb
619 1,Dandelion
619 1,Clover_white
619 1,Nettles
619 1,Broad-leaved_Dock
779 11,Poplar
779 11,Ash
779 11,Dogwood
779 11,Brambles
779 11,Cocks_foot
779 11,Hogweed
779 11,Ragworts
779 11,Buttercup_creeping
779 4,Hazel
779 4,Oak
779 4,Holly
779 4,Elder
779 4,Brambles
779 4,Common_rush
779 4,Thistles
779 4,Willowherb
779 5,Hazel
779 5,Lime
779 5,Common_reed
779 5,Willowherb
779 5,Ragworts
779 5,Hogweed
779 5,Nettles
779 1,Hazel
779 1,Crab_Apple
779 1,Brambles
779 1,Bindweed
779 1,Common_reed
779 1,Nettles
779 1,Broad-leaved_Dock
779 1,Ragworts
779 1,Willowherb
779 1,Buttercup_creeping
779 1,Yellow-flag_iris
779 10,Birch
779 10,Lime
779 10,Clover_white
779 10,Ragworts
876 2,Alder
876 2,Birch
876 2,Lime
876 2,Sycamore
876 2,Scots pine
876 2,Bindweed
876 2,Dogwood
