title,species
389 12,Wren
389 12,Magpie
389 12,Stockdove
389 12,Woodpigeon
389 10,Robin
389 10,Wren
389 10,Goldfinch
389 10,Blue_tit
389 10,Stockdove
389 10,Woodpigeon
389 9,Robin
389 9,Blackbird
389 9,Blue_tit
389 9,Magpie
389 9,Woodpigeon
389 5,Goldfinch
389 5,Crow
389 2,Magpie
389 2,Woodpigeon
485 12,Goldfinch
485 12,Jackdaw
485 12,Feral_pigeon
485 12,Woodpigeon
485 4,Robin
485 4,Crow
485 4,Magpie
485 4,Woodpigeon
485 3,Long-tailed_tit
485 3,Jackdaw
485 3,Magpie
485 9,Robin
485 9,Goldfinch
485 9,Great_tit
485 9,Jackdaw
485 9,Magpie
485 9,Woodpigeon
485 9,Feral_pigeon
485 5,Magpie
485 5,Crow
485 5,Jackdaw
485 5,Woodpigeon
485 1,Goldfinch
485 1,Blue_tit
485 1,Coal_tit
485 1,Great_tit
485 1,Crow
485 1,Magpie
485 1,Woodpigeon
618 7,Feral_pigeon
618 10,Goldfinch
618 10,Magpie
619 5,Magpie
619 5,Crow
619 5,Feral_pigeon
619 5,Woodpigeon
619 3,Magpie
619 3,Woodpigeon
619 3,Feral_pigeon
619 7,Magpie
619 7,Feral_pigeon
619 10,Goldfinch
619 10,Feral_pigeon
619 4,Goldfinch
619 4,Magpie
619 4,Crow
619 4,Jackdaw
619 4,Woodpigeon
619 4,Feral_pigeon
619 1,Robin
619 1,Crow
619 1,Magpie
619 1,Jackdaw
619 1,Woodpigeon
619 1,Feral_pigeon
779 11,Blackbird
779 11,Crow
779 11,Magpie
779 4,Blackbird
779 4,Wren
779 4,Robin
779 4,Blue_tit
779 4,Jackdaw
779 4,Crow
779 5,Robin
779 5,Blackbird
779 5,Blue_tit
779 5,Magpie
779 5,Woodpigeon
779 1,Long-tailed_tit
779 1,Magpie
779 10,Magpie
779 10,Woodpigeon
779 10,Feral_pigeon
876 2,Wren
876 2,Crow
876 2,Feral_pigeon
876 4,Magpie
876 4,Woodpigeon
876 4,Feral_pigeon
876 1,Robin
876 1,Coal_tit
876 1,Magpie
876 6,Magpie
876 8,Magpie
876 3,Crow
876 3,Magpie
876 3,Woodpigeon
876 3,Feral_pigeon
908 9,Great_tit
908 9,Crow
908 9,Woodpigeon
908 9,Parakeet
908 3,Great_tit
908 3,Crow
908 3,Woodpigeon
908 6,Wren
908 6,Robin
908 6,Chiffchaff
908 6,Great_tit
908 6,Blue_tit
908 6,Long-tailed_tit
908 6,Magpie
908 6,Crow
908 6,Woodpigeon
908 6,Feral_pigeon
908 4,Robin
908 4,Great_tit
908 4,Magpie
908 4,Crow
908 4,Feral_pigeon
908 4,Woodpigeon
908 4,Parakeet
908 2,Robin
908 2,Blackbird
908 2,Magpie
908 2,Woodpigeon
908 5,Robin
908 5,Goldfinch
908 5,Magpie
908 5,Crow
908 5,Woodpigeon
908 5,Feral_pigeon
908 1,Robin
908 1,Blue_tit
908 1,Magpie
908 1,Crow
908 1,Woodpigeon
908 1,Feral_pigeon
908 1,Parakeet
875 11,Robin
875 4,Starling
875 2,Magpie
875 2,Woodpigeon
875 2,Feral_pigeon
875 2,Starling
781 1,Magpie
982 4,Goldfinch
982 4,Jackdaw
982 4,Magpie
982 4,Parakeet
982 2,Magpie
982 2,Woodpigeon
830 4,Crow
830 4,Feral_pigeon
830 4,Woodpigeon
830 1,Blackbird
830 1,Magpie
830 1,Crow
830 1,Woodpigeon
731 1,Magpie
731 1,Crow
731 1,Parakeet
731 3,Crow
731 3,Magpie
731 3,Woodpigeon
731 3,Parakeet
731 8,Crow
731 8,Woodpigeon
731 4,Crow
731 4,Stockdove
731 4,Woodpigeon
731 4,Starling
731 4,Parakeet
731 2,Wren
731 2,Chiffchaff
731 2,Magpie
731 2,Crow
731 2,Woodpigeon
731 2,Parakeet
667 6,Crow
667 6,Magpie
667 6,Feral_pigeon
667 6,Woodpigeon
667 9,Goldfinch
667 9,Jackdaw
667 9,Crow
667 9,Magpie
667 9,Feral_pigeon
667 9,Woodpigeon
422 5,Great_tit
422 5,Magpie
422 11,Robin
422 11,Chiffchaff
422 11,Great_tit
422 11,Long-tailed_tit
422 11,Crow
422 11,Woodpigeon
422 11,Parakeet
422 4,Goldfinch
422 4,Blue_tit
422 4,Great_tit
422 4,Crow
422 4,Magpie
422 4,Woodpigeon
422 1,Robin
422 1,Wren
422 1,Blue_tit
422 1,Woodpigeon
422 7,Chiffchaff
422 7,Parakeet
422 6,Goldfinch
422 6,Crow
422 6,Magpie
422 6,Woodpigeon
422 6,Parakeet
422 10,Wren
422 10,Magpie
