title,herb,shrb,smll_tree,lrg_tree,habitat_complexity,ndvi,connected_greenspace_point6_area,connected_greenspace_point8_area,connected_tree_5m_area,days_into_survey,year,hour_of_day,survey_square,land_use
377 6,0.922,0.017,0.031,0.026,0.23,0.78,0.06,0.43,0.08,89,2024,13,377,Sports field
377 3,0.855,0.012,0.015,0.003,0.32,0.7,0.06,0.43,0,89,2024,13,377,Sports field
821 8,0.274,0.101,0.094,0.044,0.81,0.42,0,0,0,76,2024,17,821,Private residential
821 3,0.261,0.087,0.059,0.046,0.75,0.37,0,0,0,76,2024,17,821,Public residential
821 11,0.217,0.063,0.032,0.011,0.58,0.29,0,0,0,76,2024,17,821,Private commercial
823 1,0.429,0.035,0.066,0.179,0.83,0.63,0,0,0.01,76,2024,17,823,Public park
823 10,0.118,0.043,0.039,0.047,0.55,0.3,0,0,0,76,2024,16,823,Other
823 2,0.015,0.012,0.016,0.008,0.17,0.15,0,0,0,76,2024,16,823,Private commercial
823 7,0.497,0.088,0.042,0.032,0.74,0.61,0,0,0,76,2024,16,823,Other
633 2,0.488,0.129,0.086,0.051,0.83,0.62,0,0.01,0,76,2024,16,633,Other
633 12,0.364,0.163,0.099,0.049,0.88,0.54,0,0,0,76,2024,15,633,Public residential
661 4,0.486,0.039,0.047,0.182,0.8,0.75,0,0,0.02,76,2024,15,661,Public park
661 6,0.257,0.037,0.055,0.297,0.85,0.72,0,0,0.01,76,2024,15,661,Public park
661 8,0.258,0.03,0.056,0.316,0.84,0.65,0,0,0,76,2024,15,661,Public park
661 1,0.429,0.031,0.055,0.327,0.81,0.77,0,0.01,0.01,76,2024,15,661,Public park
661 5,0.376,0.034,0.069,0.338,0.84,0.77,0,0.01,0,76,2024,14,661,Public park
661 2,0.518,0.042,0.07,0.338,0.71,0.8,0,0.01,0.02,76,2024,14,661,Public park
661 3,0.347,0.028,0.051,0.174,0.81,0.62,0,0.01,0.02,76,2024,14,661,Public park
497 12,0.1,0.036,0.032,0.043,0.49,0.28,0,0,0,76,2024,14,497,Private commercial
497 5,0.258,0.055,0.051,0.069,0.73,0.54,0,0,0,76,2024,13,497,Private residential
497 1,0.385,0.07,0.048,0.029,0.73,0.44,0,0,0,76,2024,13,497,Public residential
497 4,0.031,0.019,0.016,0.007,0.22,0.16,0,0,0,76,2024,13,497,Private commercial
497 10,0.031,0.041,0.029,0.018,0.33,0.26,0,0,0,76,2024,13,497,Private commercial
497 11,0.049,0.041,0.025,0.027,0.38,0.31,0,0,0,76,2024,13,497,Private commercial
242 2,0.022,0.014,0.009,0.001,0.15,0.12,0,0,0,59,2024,19,242,Private commercial
145 7,0.428,0.087,0.106,0.121,0.89,0.74,0,0,0,59,2024,18,145,Other
145 9,0.266,0.049,0.035,0.116,0.76,0.47,0,0,0,59,2024,18,145,Public residential
112 7,0.364,0.037,0.042,0.066,0.72,0.52,0,0,0,59,2024,18,112,Public residential
112 3,0.696,0.013,0.016,0.037,0.53,0.69,0,0,0,59,2024,18,112,Public park
112 5,0.316,0.1,0.064,0.052,0.8,0.53,0,0,0,59,2024,17,112,Public park
112 2,0.779,0.032,0.02,0.033,0.48,0.7,0,0,0,59,2024,17,112,Public park
108 10,0.748,0.037,0.058,0.111,0.56,0.83,0.66,0.3,0.28,59,2024,17,108,Other
108 7,0.65,0.042,0.069,0.194,0.66,0.84,0.66,0.3,0.29,59,2024,17,108,Other
108 3,0.554,0.037,0.068,0.302,0.7,0.85,0.66,0.3,0.05,59,2024,17,108,Other
108 1,0.459,0.059,0.103,0.36,0.76,0.9,0.66,0.3,0.21,59,2024,17,108,Other
108 4,0.583,0.153,0.116,0.134,0.74,0.87,0.66,0.3,0.08,59,2024,16,108,Other
171 1,0.347,0.11,0.103,0.16,0.94,0.61,0.01,0,0.01,59,2024,16,171,Public park
203 11,0.368,0.111,0.122,0.193,0.95,0.67,0.01,0.03,0.01,59,2024,16,203,Other
203 6,0.427,0.129,0.186,0.218,0.88,0.75,0.01,0.03,0.04,59,2024,16,203,Other
203 4,0.341,0.145,0.199,0.173,0.97,0.78,0.01,0.03,0.38,59,2024,15,203,Other
203 2,0.526,0.093,0.128,0.171,0.83,0.82,0.01,0.03,0.34,59,2024,15,203,Other
203 5,0.243,0.108,0.115,0.158,0.94,0.62,0.01,0.03,0,59,2024,15,203,Other
203 8,0.34,0.181,0.093,0.085,0.92,0.55,0,0.01,0,59,2024,15,203,Other
203 9,0.294,0.127,0.121,0.154,0.96,0.47,0,0,0,59,2024,15,203,Private residential
202 2,0.381,0.141,0.123,0.12,0.94,0.6,0,0,0.01,59,2024,15,202,Sports field
202 1,0.462,0.116,0.108,0.103,0.88,0.67,0,0,0.01,59,2024,14,202,Sports field
202 8,0.291,0.114,0.099,0.081,0.88,0.51,0,0,0.01,59,2024,14,202,Private residential
