species,s.0,s.1,s.2,s.3,s.4,s.5,s.6,s.7,s.8,index,stat,p.value
Speckled_wood_butterfly,0,0,1,0,0,1,0,0,0,27,0.2487897392953803,0.131
Small_tortoiseshell_butterfly,0,1,0,0,0,0,0,0,0,2,0.18257418583505536,0.197
Western_honeybee,0,1,1,1,1,1,1,0,1,495,0.32476593812481624,0.273
Large_white_butterfly,0,0,1,1,0,1,0,0,0,96,0.24144707677281538,0.085
Pied_hoverfly,0,1,0,0,0,1,0,0,0,21,0.2326539090901349,0.055
Common_wasp,0,0,1,1,1,1,1,0,1,460,0.2779861675245833,0.13
Crane_fly,0,0,1,1,1,1,0,0,0,221,0.21191501108854743,0.167
Marmalade_hoverfly,0,1,0,0,1,1,0,0,1,213,0.29182263071892195,0.065
Garden_bumblebee,1,0,0,1,0,0,0,1,0,62,0.20277513504222508,0.376
Tree_bumblebee,1,1,0,0,1,0,1,1,0,284,0.24606566585924664,0.52
Volucella_bombylans_hoverfly,0,0,0,0,1,0,1,0,0,37,0.12216944435630522,0.856
Buff_tailed_bumblebee,0,1,0,0,0,0,1,0,1,93,0.20002918147574042,0.589
Meadow_brown_butterfly,0,0,0,0,1,1,0,1,1,253,0.2403700850309326,0.11
Red_tailed_bumblebee,1,0,1,0,0,0,1,0,0,56,0.16595459527957201,0.519
Red_admiral_butterfly,0,1,0,0,0,1,0,0,1,91,0.21324618476698617,0.125
Common_carder_bumblebee,0,0,0,0,0,0,0,0,1,9,0.16293134963145423,0.452
Heath_bumblebee,0,0,0,1,0,0,0,0,0,4,0.16222142113076254,0.263
White_tailed_bumblebee,0,0,0,0,0,1,0,0,1,42,0.2274672053319661,0.067
Early_bumblebee,0,0,0,0,0,0,0,1,1,45,0.15369465587356798,0.537
Any_Blue_butterfly,0,0,0,1,0,0,0,0,0,4,0.16222142113076254,0.258
Comma_butterfly,0,0,0,0,0,0,0,0,1,9,0.14586499149789456,0.497
Any_Small_white_Butterfly,1,1,1,1,0,0,0,1,1,391,0.4220524792867632,0.005
Any_Butterfly,1,1,1,1,1,1,0,1,1,504,0.4825852661801164,0.011
Any_White_tailed_bumblebee,1,1,1,1,1,1,1,1,1,511,0.36581409395784564,NA
Any_Red_tailed_bumblebee,1,0,1,1,0,0,1,1,0,298,0.20634392971316287,0.665
Any_Bumblebee,1,1,1,1,1,1,1,1,1,511,0.4271788288583805,NA
Any_Hoverfly,0,1,0,0,1,1,0,0,1,213,0.32936463063686017,0.02
